customer_id,name,country,account_ids,risk_rating
800056370,Allison Hill,Czech Republic,800056370,Low
800056660,Brian Yang,Mayotte,800056660,Low
800056A50,Javier Johnson,Cuba,800056A50,Low
800056CB0,Lance Hoffman,Saint Barthelemy,800056CB0,Low
800056E00,Kimberly Robinson,Namibia,800056E00,Low
800057020,Sean Blake,Cayman Islands,800057020,Low
8000573C0,Gina Moore,Serbia,8000573C0,Medium
800057620,Brandon Davis,Tanzania,800057620,Low
800057A10,Dennis Williams,Kuwait,800057A10,Low
800057D40,Valerie Gray,Micronesia,800057D40,Low
800057D41,Mark Mcclure,Guyana,800057D41,Low
800058100,Michele Williams,Denmark,800058100,Low
800058470,Victoria Wyatt,Tonga,800058470,Low
8000588D0,Donald Reid,Haiti,8000588D0,Low
800058920,Henry Santiago,Reunion,800058920,Low
800058B80,Maria Lynch,Chile,800058B80,Low
800058F40,Danielle Ford,Faroe Islands,800058F40,Low
800059230,Margaret Hawkins DDS,Tajikistan,800059230,Low
800059440,Amy Underwood,Sri Lanka,800059440,Medium
800059840,Derek Clark,Western Sahara,800059840,Low
800059C00,Michelle Lewis,Luxembourg,800059C00,Medium
800059F50,Thomas Ellis,Estonia,800059F50,Low
80005A2A0,Patrick Ryan,San Marino,80005A2A0,Low
80005A6B0,Stephanie Ross,Cyprus,80005A6B0,Low
80005AB30,Brenda Snyder PhD,Tokelau,80005AB30,High
80005AD90,Mark Conner,Jamaica,80005AD90,Low
80005ADE0,Janice Carlson,Lao People's Democratic Republic,80005ADE0,Low
80005B110,Tricia Valencia,Algeria,80005B110,Low
80005B3E0,Ashley Dyer,Sao Tome and Principe,80005B3E0,Medium
80005B5F0,Martin Rodriguez,Jordan,80005B5F0,Low
80005B9B0,Aaron Bowen,Saint Helena,80005B9B0,Medium
80005BD00,Jonathan White,United States Minor Outlying Islands,80005BD00,Low
80005C050,Mario Skinner,Madagascar,80005C050,Low
80005C0A0,Brittany Farmer,Mauritius,80005C0A0,High
80005C0A1,Tammy Sellers,Netherlands Antilles,80005C0A1,Low
80005C3D0,Alec Hickman,Turkey,80005C3D0,Low
80005C790,Dr. Cynthia Allen,Montenegro,80005C790,Medium
80005CB50,Angelica Tucker,Bangladesh,80005CB50,Low
80005CF10,Kim Martinez,Palestinian Territory,80005CF10,Medium
800085BF0,Joshua Baker,Tunisia,800085BF0,Low
800091C60,Tracey Hickman,Saudi Arabia,800091C60,Low
800093C80,Christina Collins,Paraguay,800093C80,Low
80010C060,Jessica Holmes,British Indian Ocean Territory (Chagos Archipelago),80010C060,Low
8001C3570,Austin Smith,Micronesia,8001C3570,Low
80021DC50,Daniel Jones,Norfolk Island,80021DC50,Low
80026A5A0,Austin Johnson,Greenland,80026A5A0,Low
8002807E0,David Caldwell,Croatia,8002807E0,Low
8002C56D0,Miranda Khan,Morocco,8002C56D0,Low
8003C24D0,Richard Aguirre,Comoros,8003C24D0,Low
8003F7BD0,Matthew Gomez,Isle of Man,8003F7BD0,Low
800425630,Nicholas Nunez,Oman,800425630,Low
8004473E0,James Morgan,Tokelau,8004473E0,Low
800456880,Corey Herrera,Burundi,800456880,Low
800489210,Donald Wright,Uzbekistan,800489210,Medium
8004B6050,Robert Chase,Bolivia,8004B6050,Low
8004FE3E0,Zachary Huff,Bermuda,8004FE3E0,Low
80053CFC0,Sarah Martin,Libyan Arab Jamahiriya,80053CFC0,Low
80063DE20,Dr. Steven Martin,Afghanistan,80063DE20,Low
800793180,Mrs. Rachel Gibson,Jamaica,800793180,Low
80084B380,Monica Logan,Panama,80084B380,Low
800925110,Brittney Phillips,Azerbaijan,800925110,High
8009A4370,Kimberly Adkins,Azerbaijan,8009A4370,Low
8009B45E0,John Calhoun,Marshall Islands,8009B45E0,Low
800A52F40,Tyler Miller,Colombia,800A52F40,Low
800AA9E00,Barry Hensley,Iraq,800AA9E00,Medium
800B3A9C0,Steve Sanchez,Nepal,800B3A9C0,Medium
800B620B0,Bradley Sandoval,Mongolia,800B620B0,Low
800B95320,Taylor Harris,Saint Barthelemy,800B95320,Low
800BBD220,Derek Anderson,Oman,800BBD220,Low
800BED3C0,Eugene Walton,Barbados,800BED3C0,Low
800C45CA0,Marc Hart,Bolivia,800C45CA0,Low
800C5E3F0,Daniel Baker,Venezuela,800C5E3F0,Medium
