transaction_id,timestamp,from_bank,from_account,to_bank,to_account,amount_paid,payment_currency,payment_format,is_laundering
TXN_0000001,2022/09/01 00:20,10,8000EBD30,10,8000EBD30,3697.34,US Dollar,Reinvestment,0
TXN_0000033,2022/09/01 00:26,10,800058100,1688,8005FD430,159271.0,US Dollar,ACH,0
TXN_0000109,2022/09/01 00:04,1,800056370,1,800056370,14.6,US Dollar,Reinvestment,0
TXN_0000110,2022/09/01 00:20,10,800056660,10,800056660,4461.81,US Dollar,Cheque,0
TXN_0000111,2022/09/01 00:03,10,800056660,10,800056660,1134.32,US Dollar,Credit Card,0
TXN_0000112,2022/09/01 00:18,10,800056660,10,800056660,726.94,US Dollar,Cash,0
TXN_0000113,2022/09/01 00:12,10,800056660,10,800056660,297.27,US Dollar,ACH,0
TXN_0000114,2022/09/01 00:14,10,800056660,10,800056660,14.84,US Dollar,Reinvestment,0
TXN_0000115,2022/09/01 00:16,1,800056CB0,1,800056CB0,40939.45,US Dollar,Reinvestment,0
TXN_0000116,2022/09/01 00:17,1,800056CB0,1,800056CB0,3.31,US Dollar,Reinvestment,0
TXN_0000117,2022/09/01 00:03,1,800057620,1,800057620,4.58,US Dollar,Reinvestment,0
TXN_0000118,2022/09/01 00:10,1,800057A10,1,800057A10,755232.33,US Dollar,Reinvestment,0
TXN_0000119,2022/09/01 00:11,1,800057D40,1,800057D40,5.5,US Dollar,Reinvestment,0
TXN_0000121,2022/09/01 00:22,1,800058B80,1,800058B80,1028547.78,US Dollar,Reinvestment,0
TXN_0000122,2022/09/01 00:08,1,800058B80,1,800058B80,11.24,US Dollar,Reinvestment,0
TXN_0000123,2022/09/01 00:25,12,800059230,12,800059230,77285.26,US Dollar,Reinvestment,0
TXN_0000124,2022/09/01 00:28,10,800059840,10,800059840,167.41,US Dollar,Cheque,0
TXN_0000125,2022/09/01 00:10,10,800059840,10,800059840,401.34,US Dollar,Cash,0
TXN_0000126,2022/09/01 00:03,1,800059C00,1,800059C00,212976.7,US Dollar,Reinvestment,0
TXN_0000127,2022/09/01 00:29,10,800059F50,10,800059F50,86837.1,US Dollar,Reinvestment,0
TXN_0000128,2022/09/01 00:25,70,100428660,10,800059F50,5105.92,US Dollar,Cheque,0
TXN_0000129,2022/09/01 00:13,12,80005A2A0,12,80005A2A0,261681.48,US Dollar,Reinvestment,0
TXN_0000131,2022/09/01 00:18,1,80005AB30,1,80005AB30,8.96,US Dollar,Reinvestment,0
TXN_0000132,2022/09/01 00:10,10,80005ADE0,10,80005ADE0,16314.97,US Dollar,Reinvestment,0
TXN_0000133,2022/09/01 00:23,10,80005B110,10,80005B110,18.48,US Dollar,Reinvestment,0
TXN_0000134,2022/09/01 00:01,12,80005B5F0,12,80005B5F0,24.37,US Dollar,Reinvestment,0
TXN_0000135,2022/09/01 00:27,1,80005B9B0,1,80005B9B0,38143.57,US Dollar,Reinvestment,0
TXN_0000136,2022/09/01 00:20,1,80005C0A0,1,80005C0A0,4735.15,US Dollar,Reinvestment,0
TXN_0000137,2022/09/01 00:09,1,80005C790,1,80005C790,23.06,US Dollar,Reinvestment,0
TXN_0000138,2022/09/01 00:25,10,8000588D0,10,8000588D0,10.32,US Dollar,Reinvestment,0
TXN_0000139,2022/09/01 00:13,10,80005AD90,10,80005AD90,22.13,US Dollar,Reinvestment,0
TXN_0000146,2022/09/01 00:02,1,80005AB30,1,8000EBF70,310.47,US Dollar,Cheque,0
TXN_0000155,2022/09/01 00:28,1,800059440,1,800059440,13.94,US Dollar,Reinvestment,0
TXN_0000163,2022/09/01 00:29,10,80005CB50,10,8000F8070,562.3,US Dollar,Cheque,0
TXN_0000164,2022/09/01 00:07,10,80005CB50,10,8000F8070,1314.94,US Dollar,ACH,0
TXN_0000171,2022/09/01 00:12,12,800056E00,12,800056E00,139575.29,US Dollar,Reinvestment,0
TXN_0000192,2022/09/01 00:04,1,80010C060,1,80010C060,21.9,US Dollar,Reinvestment,0
TXN_0000196,2022/09/01 00:27,10,80005CF10,10,80005CF10,140736.98,US Dollar,Reinvestment,0
TXN_0000217,2022/09/01 00:11,10,800059840,1,800115570,199.59,US Dollar,Cheque,0
TXN_0000218,2022/09/01 00:07,10,800059840,1,800115570,330.13,US Dollar,Credit Card,0
TXN_0000298,2022/09/01 00:07,1,80005C050,220,80013E150,4821.72,US Dollar,Cheque,0
TXN_0000299,2022/09/01 00:28,1,80005C050,220,80013E150,3256.52,US Dollar,Credit Card,0
TXN_0000609,2022/09/01 00:00,10,80005AD90,1,8001C6920,65669.07,US Dollar,Cheque,0
TXN_0000610,2022/09/01 00:23,10,80005AD90,1,8001C6920,12532.07,US Dollar,Credit Card,0
TXN_0000755,2022/09/01 00:19,10,80005B110,10,80021ADE0,210518.18,US Dollar,Cheque,0
TXN_0000756,2022/09/01 00:21,10,80005B110,10,80021ADE0,15189.49,US Dollar,Credit Card,0
TXN_0000757,2022/09/01 00:06,10,80005B110,10,80021ADE0,55474.55,US Dollar,Cash,0
TXN_0000758,2022/09/01 00:20,10,80005B110,10,80021ADE0,4432.21,US Dollar,Wire,0
TXN_0001069,2022/09/01 00:28,3553,8002C56D0,3553,8002C56D0,828.41,US Dollar,Reinvestment,0
TXN_0001414,2022/09/01 00:17,1292,800393D40,6129,803E4D2C0,24.61,US Dollar,Credit Card,0
TXN_0001436,2022/09/01 00:01,10,80005CB50,1362,8003A2200,42290.37,US Dollar,Cheque,0
TXN_0001437,2022/09/01 00:13,10,80005CB50,1362,8003A2200,12335.22,US Dollar,Cash,0
TXN_0001465,2022/09/01 00:03,1,80005C0A0,1588,8003AC470,13449.06,US Dollar,Cheque,0
TXN_0001466,2022/09/01 00:20,1,80005C0A0,1588,8003AC470,12416.63,US Dollar,Credit Card,0
TXN_0001467,2022/09/01 00:24,1,80005C0A0,1588,8003AC470,23932.75,US Dollar,Cash,0
TXN_0001468,2022/09/01 00:15,1,80005C0A1,1588,8003AC471,0.016891,Bitcoin,Bitcoin,0
TXN_0001469,2022/09/01 00:00,1,80005C0A0,1588,8003AC470,427.27,US Dollar,ACH,0
TXN_0001470,2022/09/01 00:25,1,80005C0A0,1588,8003AC470,729.88,US Dollar,Wire,0
TXN_0001564,2022/09/01 00:15,1292,8003C24D0,1292,8003C24D0,52487.58,US Dollar,Reinvestment,0
TXN_0001738,2022/09/01 00:04,10,8003F7BD0,10,8003F7BD0,3553.43,US Dollar,Reinvestment,0
TXN_0002057,2022/09/01 00:28,10,8001C3570,220,800464E60,37280.75,US Dollar,Cheque,0
TXN_0002058,2022/09/01 00:07,10,8001C3570,220,800464E60,20791.32,US Dollar,Credit Card,0
TXN_0002059,2022/09/01 00:20,10,8001C3570,220,800464E60,516.26,US Dollar,Cash,0
TXN_0002060,2022/09/01 00:26,10,8001C3570,220,800464E60,149.07,US Dollar,ACH,0
TXN_0002110,2022/09/01 00:00,1,800057A10,12,800473570,1433.68,US Dollar,Cheque,0
TXN_0002111,2022/09/01 00:21,1,800057A10,12,800473570,72.86,US Dollar,ACH,0
TXN_0002112,2022/09/01 00:20,1,800057A10,12,800473570,21.04,US Dollar,Wire,0
