source_id,target_id,edge_type,timestamp,metadata
800056370,800056370,OWNS,,"{""relationship"": ""owner""}"
800056660,800056660,OWNS,,"{""relationship"": ""owner""}"
800056A50,800056A50,OWNS,,"{""relationship"": ""owner""}"
800056CB0,800056CB0,OWNS,,"{""relationship"": ""owner""}"
800056E00,800056E00,OWNS,,"{""relationship"": ""owner""}"
800057020,800057020,OWNS,,"{""relationship"": ""owner""}"
8000573C0,8000573C0,OWNS,,"{""relationship"": ""owner""}"
800057620,800057620,OWNS,,"{""relationship"": ""owner""}"
800057A10,800057A10,OWNS,,"{""relationship"": ""owner""}"
800057D40,800057D40,OWNS,,"{""relationship"": ""owner""}"
800057D41,800057D41,OWNS,,"{""relationship"": ""owner""}"
800058100,800058100,OWNS,,"{""relationship"": ""owner""}"
800058470,800058470,OWNS,,"{""relationship"": ""owner""}"
8000588D0,8000588D0,OWNS,,"{""relationship"": ""owner""}"
800058920,800058920,OWNS,,"{""relationship"": ""owner""}"
800058B80,800058B80,OWNS,,"{""relationship"": ""owner""}"
800058F40,800058F40,OWNS,,"{""relationship"": ""owner""}"
800059230,800059230,OWNS,,"{""relationship"": ""owner""}"
800059440,800059440,OWNS,,"{""relationship"": ""owner""}"
800059840,800059840,OWNS,,"{""relationship"": ""owner""}"
800059C00,800059C00,OWNS,,"{""relationship"": ""owner""}"
800059F50,800059F50,OWNS,,"{""relationship"": ""owner""}"
80005A2A0,80005A2A0,OWNS,,"{""relationship"": ""owner""}"
80005A6B0,80005A6B0,OWNS,,"{""relationship"": ""owner""}"
80005AB30,80005AB30,OWNS,,"{""relationship"": ""owner""}"
80005AD90,80005AD90,OWNS,,"{""relationship"": ""owner""}"
80005ADE0,80005ADE0,OWNS,,"{""relationship"": ""owner""}"
80005B110,80005B110,OWNS,,"{""relationship"": ""owner""}"
80005B3E0,80005B3E0,OWNS,,"{""relationship"": ""owner""}"
80005B5F0,80005B5F0,OWNS,,"{""relationship"": ""owner""}"
80005B9B0,80005B9B0,OWNS,,"{""relationship"": ""owner""}"
80005BD00,80005BD00,OWNS,,"{""relationship"": ""owner""}"
80005C050,80005C050,OWNS,,"{""relationship"": ""owner""}"
80005C0A0,80005C0A0,OWNS,,"{""relationship"": ""owner""}"
80005C0A1,80005C0A1,OWNS,,"{""relationship"": ""owner""}"
80005C3D0,80005C3D0,OWNS,,"{""relationship"": ""owner""}"
80005C790,80005C790,OWNS,,"{""relationship"": ""owner""}"
80005CB50,80005CB50,OWNS,,"{""relationship"": ""owner""}"
80005CF10,80005CF10,OWNS,,"{""relationship"": ""owner""}"
800085BF0,800085BF0,OWNS,,"{""relationship"": ""owner""}"
800091C60,800091C60,OWNS,,"{""relationship"": ""owner""}"
800093C80,800093C80,OWNS,,"{""relationship"": ""owner""}"
80010C060,80010C060,OWNS,,"{""relationship"": ""owner""}"
8001C3570,8001C3570,OWNS,,"{""relationship"": ""owner""}"
80021DC50,80021DC50,OWNS,,"{""relationship"": ""owner""}"
80026A5A0,80026A5A0,OWNS,,"{""relationship"": ""owner""}"
8002807E0,8002807E0,OWNS,,"{""relationship"": ""owner""}"
8002C56D0,8002C56D0,OWNS,,"{""relationship"": ""owner""}"
8003C24D0,8003C24D0,OWNS,,"{""relationship"": ""owner""}"
8003F7BD0,8003F7BD0,OWNS,,"{""relationship"": ""owner""}"
800425630,800425630,OWNS,,"{""relationship"": ""owner""}"
8004473E0,8004473E0,OWNS,,"{""relationship"": ""owner""}"
800456880,800456880,OWNS,,"{""relationship"": ""owner""}"
800489210,800489210,OWNS,,"{""relationship"": ""owner""}"
8004B6050,8004B6050,OWNS,,"{""relationship"": ""owner""}"
8004FE3E0,8004FE3E0,OWNS,,"{""relationship"": ""owner""}"
80053CFC0,80053CFC0,OWNS,,"{""relationship"": ""owner""}"
80063DE20,80063DE20,OWNS,,"{""relationship"": ""owner""}"
800793180,800793180,OWNS,,"{""relationship"": ""owner""}"
80084B380,80084B380,OWNS,,"{""relationship"": ""owner""}"
800925110,800925110,OWNS,,"{""relationship"": ""owner""}"
8009A4370,8009A4370,OWNS,,"{""relationship"": ""owner""}"
8009B45E0,8009B45E0,OWNS,,"{""relationship"": ""owner""}"
800A52F40,800A52F40,OWNS,,"{""relationship"": ""owner""}"
800AA9E00,800AA9E00,OWNS,,"{""relationship"": ""owner""}"
800B3A9C0,800B3A9C0,OWNS,,"{""relationship"": ""owner""}"
800B620B0,800B620B0,OWNS,,"{""relationship"": ""owner""}"
800B95320,800B95320,OWNS,,"{""relationship"": ""owner""}"
800BBD220,800BBD220,OWNS,,"{""relationship"": ""owner""}"
800BED3C0,800BED3C0,OWNS,,"{""relationship"": ""owner""}"
800C45CA0,800C45CA0,OWNS,,"{""relationship"": ""owner""}"
800C5E3F0,800C5E3F0,OWNS,,"{""relationship"": ""owner""}"
800D11090,800D11090,OWNS,,"{""relationship"": ""owner""}"
800D36B20,800D36B20,OWNS,,"{""relationship"": ""owner""}"
800D43A90,800D43A90,OWNS,,"{""relationship"": ""owner""}"
800D46C20,800D46C20,OWNS,,"{""relationship"": ""owner""}"
800D6DD70,800D6DD70,OWNS,,"{""relationship"": ""owner""}"
800D83A40,800D83A40,OWNS,,"{""relationship"": ""owner""}"
800DDED10,800DDED10,OWNS,,"{""relationship"": ""owner""}"
800E4DA90,800E4DA90,OWNS,,"{""relationship"": ""owner""}"
800E84250,800E84250,OWNS,,"{""relationship"": ""owner""}"
800EE2180,800EE2180,OWNS,,"{""relationship"": ""owner""}"
800F1DB80,800F1DB80,OWNS,,"{""relationship"": ""owner""}"
800F30520,800F30520,OWNS,,"{""relationship"": ""owner""}"
80104C6F0,80104C6F0,OWNS,,"{""relationship"": ""owner""}"
8010BB6E0,8010BB6E0,OWNS,,"{""relationship"": ""owner""}"
8011D2BD0,8011D2BD0,OWNS,,"{""relationship"": ""owner""}"
8011F1250,8011F1250,OWNS,,"{""relationship"": ""owner""}"
8011F9E60,8011F9E60,OWNS,,"{""relationship"": ""owner""}"
8012010B0,8012010B0,OWNS,,"{""relationship"": ""owner""}"
80120A710,80120A710,OWNS,,"{""relationship"": ""owner""}"
80124DA90,80124DA90,OWNS,,"{""relationship"": ""owner""}"
801294D10,801294D10,OWNS,,"{""relationship"": ""owner""}"
8013E5FB0,8013E5FB0,OWNS,,"{""relationship"": ""owner""}"
801461050,801461050,OWNS,,"{""relationship"": ""owner""}"
8014D45A0,8014D45A0,OWNS,,"{""relationship"": ""owner""}"
8014FC550,8014FC550,OWNS,,"{""relationship"": ""owner""}"
8015216E0,8015216E0,OWNS,,"{""relationship"": ""owner""}"
801535A60,801535A60,OWNS,,"{""relationship"": ""owner""}"
8015E88E0,8015E88E0,OWNS,,"{""relationship"": ""owner""}"
80167DDD0,80167DDD0,OWNS,,"{""relationship"": ""owner""}"
8016D8110,8016D8110,OWNS,,"{""relationship"": ""owner""}"
801772420,801772420,OWNS,,"{""relationship"": ""owner""}"
80177CEB0,80177CEB0,OWNS,,"{""relationship"": ""owner""}"
80179F360,80179F360,OWNS,,"{""relationship"": ""owner""}"
8017BE720,8017BE720,OWNS,,"{""relationship"": ""owner""}"
8017C71A0,8017C71A0,OWNS,,"{""relationship"": ""owner""}"
8018204F0,8018204F0,OWNS,,"{""relationship"": ""owner""}"
8018238B0,8018238B0,OWNS,,"{""relationship"": ""owner""}"
8018CD260,8018CD260,OWNS,,"{""relationship"": ""owner""}"
80192FEF0,80192FEF0,OWNS,,"{""relationship"": ""owner""}"
8019739C0,8019739C0,OWNS,,"{""relationship"": ""owner""}"
801986330,801986330,OWNS,,"{""relationship"": ""owner""}"
8019D53B0,8019D53B0,OWNS,,"{""relationship"": ""owner""}"
8019FFC80,8019FFC80,OWNS,,"{""relationship"": ""owner""}"
801A19640,801A19640,OWNS,,"{""relationship"": ""owner""}"
801B565E0,801B565E0,OWNS,,"{""relationship"": ""owner""}"
801B850B0,801B850B0,OWNS,,"{""relationship"": ""owner""}"
801BEED90,801BEED90,OWNS,,"{""relationship"": ""owner""}"
801C04D80,801C04D80,OWNS,,"{""relationship"": ""owner""}"
801C0FB60,801C0FB60,OWNS,,"{""relationship"": ""owner""}"
801C98AE0,801C98AE0,OWNS,,"{""relationship"": ""owner""}"
801CBAF20,801CBAF20,OWNS,,"{""relationship"": ""owner""}"
801D03210,801D03210,OWNS,,"{""relationship"": ""owner""}"
801DD5140,801DD5140,OWNS,,"{""relationship"": ""owner""}"
801DFB5B0,801DFB5B0,OWNS,,"{""relationship"": ""owner""}"
801E6A920,801E6A920,OWNS,,"{""relationship"": ""owner""}"
801EC0260,801EC0260,OWNS,,"{""relationship"": ""owner""}"
801ED4980,801ED4980,OWNS,,"{""relationship"": ""owner""}"
801F2E1A0,801F2E1A0,OWNS,,"{""relationship"": ""owner""}"
801F69530,801F69530,OWNS,,"{""relationship"": ""owner""}"
