node_id,node_type,label
EMP_0001,Employee,"Allison Hill (Compliance Director, Corporate Banking)"
EMP_0002,Employee,"Brian Yang (IT Security Analyst, Operations)"
EMP_0003,Employee,"Javier Johnson (KYC Analyst, Compliance)"
EMP_0004,Employee,"Lance Hoffman (Compliance Director, Audit)"
EMP_0005,Employee,"Kimberly Robinson (Senior Advisor, Treasury)"
EMP_0006,Employee,"Sean Blake (Relationship Manager, Corporate Banking)"
EMP_0007,Employee,"Gina Moore (KYC Analyst, Audit)"
EMP_0008,Employee,"Ashley James (Relationship Manager, Audit)"
EMP_0009,Employee,"Lindsey Roman (IT Security Analyst, Audit)"
EMP_0010,Employee,"Calvin Nielsen (KYC Analyst, IT Security)"
EMP_0011,Employee,"Sandra Montgomery (Operations Specialist, Retail Banking)"
EMP_0012,Employee,"Corey Jones (IT Security Analyst, Treasury)"
EMP_0013,Employee,"Dylan Miller (Operations Specialist, Compliance)"
EMP_0014,Employee,"Jamie Chavez (Treasury Analyst, Wealth Management)"
EMP_0015,Employee,"Jacob Clark (Account Manager, Treasury)"
EMP_0016,Employee,"Melinda Jones (Branch Manager, Wealth Management)"
EMP_0017,Employee,"Nicholas Martin (Operations Specialist, Retail Banking)"
EMP_0018,Employee,"Timothy Watts (Teller, Corporate Banking)"
EMP_0019,Employee,"Sarah Parsons (Account Manager, Audit)"
EMP_0020,Employee,"Renee Morales (Audit Associate, Customer Service)"
EMP_0021,Employee,"Tommy Walter (Senior Advisor, Risk Management)"
EMP_0022,Employee,"Jonathan Wilkerson (Relationship Manager, Risk Management)"
EMP_0023,Employee,"Derek Wright (Account Manager, Risk Management)"
EMP_0024,Employee,"Nicole Patterson (Risk Analyst, Operations)"
EMP_0025,Employee,"Daniel Bright (Compliance Director, Wealth Management)"
EMP_0026,Employee,"Peter Callahan Jr. (Branch Manager, Wealth Management)"
EMP_0027,Employee,"Jennifer Brown (Compliance Director, Operations)"
EMP_0028,Employee,"Julie King (Senior Advisor, Compliance)"
EMP_0029,Employee,"Alexandra Le (IT Security Analyst, Risk Management)"
EMP_0030,Employee,"Nicole Mack (Fraud Investigator, Treasury)"
EMP_0031,Employee,"Jeffrey Chavez (Customer Service Rep, Audit)"
EMP_0032,Employee,"Michelle Stanton (Compliance Director, Wealth Management)"
EMP_0033,Employee,"Thomas Harrell (KYC Analyst, Retail Banking)"
EMP_0034,Employee,"Katie Gonzalez (Risk Analyst, Operations)"
EMP_0035,Employee,"Kimberly Osborne (KYC Analyst, Customer Service)"
EMP_0036,Employee,"Linda Burns (KYC Analyst, IT Security)"
EMP_0037,Employee,"Sherry Decker (Customer Service Rep, IT Security)"
EMP_0038,Employee,"David Bradley (Operations Specialist, Compliance)"
EMP_0039,Employee,"John Jones (IT Security Analyst, Audit)"
EMP_0040,Employee,"Beth Keller (Operations Specialist, Customer Service)"
EMP_0041,Employee,"Deborah Brennan (Customer Service Rep, Customer Service)"
EMP_0042,Employee,"Tanya Campos (Branch Manager, Risk Management)"
EMP_0043,Employee,"Eric Carney (Teller, IT Security)"
EMP_0044,Employee,"Steven Hayes (Treasury Analyst, Retail Banking)"
EMP_0045,Employee,"George Chapman (Compliance Officer, Compliance)"
EMP_0046,Employee,"Adrienne Zimmerman (Senior Advisor, Corporate Banking)"
EMP_0047,Employee,"Taylor Heath (Risk Analyst, Customer Service)"
EMP_0048,Employee,"Diana Washington (Teller, Operations)"
EMP_0049,Employee,"Timothy Duncan (Audit Associate, Retail Banking)"
EMP_0050,Employee,"John Russell (Compliance Director, Audit)"
EMP_0051,Employee,"Jeffrey Henderson (Treasury Analyst, Wealth Management)"
EMP_0052,Employee,"Amy Valdez (Operations Specialist, Treasury)"
EMP_0053,Employee,"James Morgan (Fraud Investigator, Retail Banking)"
EMP_0054,Employee,"Corey Herrera (Teller, Compliance)"
EMP_0055,Employee,"Donald Wright (Customer Service Rep, Corporate Banking)"
EMP_0056,Employee,"Robert Chase (Audit Associate, Audit)"
EMP_0057,Employee,"Zachary Huff (KYC Analyst, Compliance)"
EMP_0058,Employee,"Paul Young (Treasury Analyst, Compliance)"
EMP_0059,Employee,"Mr. James Brown (Treasury Analyst, Audit)"
EMP_0060,Employee,"James House (Senior Advisor, Wealth Management)"
EMP_0061,Employee,"Jay Bernard (Relationship Manager, Corporate Banking)"
EMP_0062,Employee,"Michelle Moore (Customer Service Rep, Operations)"
EMP_0063,Employee,"Anthony Fitzgerald (Relationship Manager, Risk Management)"
EMP_0064,Employee,"Amy Silva (Account Manager, Corporate Banking)"
EMP_0065,Employee,"Kim Brown (Audit Associate, Corporate Banking)"
EMP_0066,Employee,"Cody Larson (Treasury Analyst, Compliance)"
EMP_0067,Employee,"Jennifer David (Compliance Director, IT Security)"
EMP_0068,Employee,"Kristopher Harvey (Compliance Officer, Operations)"
EMP_0069,Employee,"Krystal Stewart (Audit Associate, Customer Service)"
EMP_0070,Employee,"Mike Allen (KYC Analyst, Audit)"
EMP_0071,Employee,"Matthew Bryant (IT Security Analyst, Operations)"
EMP_0072,Employee,"Angel Ellis (Compliance Director, Wealth Management)"
EMP_0073,Employee,"Angel Lewis MD (Customer Service Rep, Audit)"
EMP_0074,Employee,"Benjamin Sanchez (Account Manager, Risk Management)"
EMP_0075,Employee,"Roy Warner (Account Manager, Wealth Management)"
EMP_0076,Employee,"Dr. Kendra Contreras (Senior Advisor, Audit)"
EMP_0077,Employee,"Matthew Mcmillan (Senior Advisor, Risk Management)"
EMP_0078,Employee,"Steve Newton (Account Manager, Retail Banking)"
EMP_0079,Employee,"Larry Robbins (Account Manager, Retail Banking)"
EMP_0080,Employee,"Sarah Wagner (Account Manager, Audit)"
EMP_0081,Employee,"Sarah Davis (Operations Specialist, IT Security)"
EMP_0082,Employee,"Amanda Cook (Teller, Compliance)"
EMP_0083,Employee,"Deborah Figueroa (Senior Advisor, IT Security)"
EMP_0084,Employee,"Kristina Rodriguez (Treasury Analyst, IT Security)"
EMP_0085,Employee,"Stephanie Gardner (KYC Analyst, Corporate Banking)"
EMP_0086,Employee,"Juan Jordan (Compliance Director, Treasury)"
EMP_0087,Employee,"Steven Flynn (Risk Analyst, Treasury)"
EMP_0088,Employee,"Hunter Fleming (Audit Associate, Retail Banking)"
EMP_0089,Employee,"Richard Henson (Relationship Manager, Treasury)"
EMP_0090,Employee,"Nicole Frost (Treasury Analyst, Corporate Banking)"
EMP_0091,Employee,"Vanessa Cochran (KYC Analyst, Risk Management)"
EMP_0092,Employee,"Christopher Middleton (Fraud Investigator, Compliance)"
EMP_0093,Employee,"Rebekah Shields (Compliance Officer, Operations)"
EMP_0094,Employee,"Christopher Haynes (KYC Analyst, Corporate Banking)"
EMP_0095,Employee,"Shannon Walker (Treasury Analyst, Audit)"
EMP_0096,Employee,"Hannah Hoover (Relationship Manager, Audit)"
EMP_0097,Employee,"Alexander Lee (Account Manager, Risk Management)"
EMP_0098,Employee,"Benjamin Ayala (Risk Analyst, IT Security)"
EMP_0099,Employee,"Jennifer Zavala (KYC Analyst, Treasury)"
EMP_0100,Employee,"Alexander Wiley (Compliance Officer, Treasury)"
EMP_0101,Employee,"Victor Baker (Risk Analyst, Operations)"
EMP_0102,Employee,"Haley Hartman (Operations Specialist, Treasury)"
EMP_0103,Employee,"Kayla Cruz (Compliance Director, IT Security)"
