transaction_id,timestamp,from_bank,from_account,to_bank,to_account,amount_received,receiving_currency,amount_paid,payment_currency,payment_format,is_laundering,source,scenario_id
SYN_S01_001,2022/09/06 15:13,249,800056370,304,800083E30,9396.73,US Dollar,9396.73,US Dollar,Wire,1,synthetic_scenario,S01
SYN_S01_002,2022/09/06 19:30,228,800056370,235,800098200,9359.05,US Dollar,9359.05,US Dollar,Wire,1,synthetic_scenario,S01
SYN_S01_003,2022/09/06 23:43,88,800056370,405,800081970,9239.59,US Dollar,9239.59,US Dollar,Wire,1,synthetic_scenario,S01
SYN_S01_004,2022/09/07 03:59,395,800056370,433,800080670,9345.27,US Dollar,9345.27,US Dollar,Wire,1,synthetic_scenario,S01
SYN_S01_005,2022/09/07 08:13,490,800056370,86,80008FE30,9305.94,US Dollar,9305.94,US Dollar,Wire,1,synthetic_scenario,S01
SYN_S01_006,2022/09/07 12:35,147,800056370,94,800097520,9248.24,US Dollar,9248.24,US Dollar,Wire,1,synthetic_scenario,S01
SYN_S01_007,2022/09/07 16:55,83,800056370,122,800075050,9451.8,US Dollar,9451.8,US Dollar,Wire,1,synthetic_scenario,S01
SYN_S01_008,2022/09/07 21:03,65,800056370,226,80009A9D0,9498.13,US Dollar,9498.13,US Dollar,Wire,1,synthetic_scenario,S01
SYN_S01_009,2022/09/08 01:21,363,800056370,18,800099520,9255.35,US Dollar,9255.35,US Dollar,Wire,1,synthetic_scenario,S01
SYN_S01_010,2022/09/08 05:41,191,800056370,230,8000748D0,9493.41,US Dollar,9493.41,US Dollar,Wire,1,synthetic_scenario,S01
SYN_S01_011,2022/09/08 09:56,63,800056370,472,8000816C0,9248.78,US Dollar,9248.78,US Dollar,Wire,1,synthetic_scenario,S01
SYN_S01_012,2022/09/08 14:08,486,800056370,235,8000746C0,9479.32,US Dollar,9479.32,US Dollar,Wire,1,synthetic_scenario,S01
SYN_S02_001,2022/09/08 19:30,500,800056660,260,800097FF0,446560.53,US Dollar,446560.53,US Dollar,Wire,1,synthetic_scenario,S02
SYN_S03_001,2022/09/09 01:33,459,800056A50,149,800091C60,42054.51,US Dollar,42054.51,US Dollar,Wire,1,synthetic_scenario,S03
SYN_S03_002,2022/09/09 02:50,342,800056A50,76,80009A680,42541.62,US Dollar,42541.62,US Dollar,Wire,1,synthetic_scenario,S03
SYN_S03_003,2022/09/09 04:01,174,800056A50,353,80008E7B0,42285.44,US Dollar,42285.44,US Dollar,Wire,1,synthetic_scenario,S03
SYN_S03_004,2022/09/09 05:07,72,800056A50,348,80006B030,39789.81,US Dollar,39789.81,US Dollar,Wire,1,synthetic_scenario,S03
SYN_S03_005,2022/09/09 06:24,317,800056A50,431,80008AC30,38080.82,US Dollar,38080.82,US Dollar,Wire,1,synthetic_scenario,S03
SYN_S03_006,2022/09/09 07:33,29,800056A50,312,800083E30,38573.94,US Dollar,38573.94,US Dollar,Wire,1,synthetic_scenario,S03
SYN_S03_007,2022/09/09 08:50,401,800056A50,480,80007AA30,40834.31,US Dollar,40834.31,US Dollar,Wire,1,synthetic_scenario,S03
