change_id,customer_id,field_changed,old_value,new_value,changed_by_employee_id,timestamp
CHG_000206,804F4CAD0,beneficial_owner,form,job,EMP_0168,2022-09-01 00:07:01
CHG_000005,806D7D990,account_type,cup,national,EMP_0061,2022-09-01 01:07:01
CHG_000458,814198860,email,jason82@example.org,jeffreydavenport@example.org,EMP_0052,2022-09-01 01:26:29
CHG_000240,80689C4D0,account_type,eight,gas,EMP_0177,2022-09-01 03:26:05
CHG_000285,80338A4A0,tax_id,speech,baby,EMP_0078,2022-09-01 04:18:24
CHG_000300,801DD5140,name,various,buy,EMP_0039,2022-09-01 06:00:27
CHG_000495,80B870070,beneficial_owner,week,possible,EMP_0138,2022-09-01 07:38:13
CHG_000401,812027210,beneficial_owner,get,help,EMP_0028,2022-09-01 07:47:02
CHG_000362,811D45DF0,name,then,risk,EMP_0081,2022-09-01 08:51:14
CHG_000237,813A18A10,account_type,simple,run,EMP_0139,2022-09-01 13:17:08
CHG_000369,80D59B560,wire_transfer_limit,7249,40009,EMP_0077,2022-09-01 15:14:51
CHG_000106,80EE94A90,account_type,page,home,EMP_0085,2022-09-01 15:27:27
CHG_000051,80FC16870,phone,850-922-9612x01836,625-945-9910x22901,EMP_0107,2022-09-01 18:58:19
CHG_000075,80E6B3560,spending_limit,46621,19850,EMP_0171,2022-09-01 19:10:04
CHG_000466,806DA8BF0,wire_transfer_limit,40536,20558,EMP_0023,2022-09-01 20:00:17
CHG_000010,805769430,tax_id,true,current,EMP_0119,2022-09-01 20:25:57
CHG_000033,806D90200,name,against,apply,EMP_0072,2022-09-01 20:32:35
CHG_000069,807E3B150,address,"69681 Harrell Summit, Jeffreyburgh, CA 67411","5231 Jonathan Extensions, Port Katherine, CA 23719",EMP_0038,2022-09-01 21:39:01
CHG_000391,80252EF80,phone,(616)689-4210,889.285.6257x532,EMP_0190,2022-09-01 22:15:05
CHG_000030,8129BF5D0,risk_rating,low,high,EMP_0157,2022-09-01 22:15:46
CHG_000464,803D23610,spending_limit,14607,4205,EMP_0038,2022-09-01 22:27:57
CHG_000201,8142B4ED1,spending_limit,19774,47635,EMP_0153,2022-09-01 23:26:41
CHG_000343,809B4FC60,phone,001-632-371-0405,952-262-1815,EMP_0164,2022-09-02 00:45:56
CHG_000432,80FC517D0,name,side,teacher,EMP_0053,2022-09-02 02:59:01
CHG_000496,810A2A110,wire_transfer_limit,45924,22739,EMP_0091,2022-09-02 03:00:53
CHG_090011,800059840,risk_rating,high,low,EMP_0028,2022-09-02 03:42:03
CHG_000172,80C645C80,account_type,feel,look,EMP_0152,2022-09-02 04:05:16
CHG_000385,80E3ED5C0,beneficial_owner,these,nice,EMP_0148,2022-09-02 12:33:16
CHG_000448,812689420,name,create,near,EMP_0117,2022-09-02 12:47:35
CHG_000366,8054C97C0,wire_transfer_limit,17374,16269,EMP_0077,2022-09-02 13:29:50
CHG_000469,813748021,beneficial_owner,decade,she,EMP_0010,2022-09-02 13:59:43
CHG_000028,80E9331D0,spending_limit,35282,46104,EMP_0159,2022-09-02 14:51:31
CHG_000402,80A8CEEA0,risk_rating,low,medium,EMP_0182,2022-09-02 16:38:17
CHG_000241,807DC0D70,name,however,fast,EMP_0149,2022-09-02 17:06:18
CHG_000008,80F0D2AB0,phone,682.263.9821x465,849-997-2787x5588,EMP_0186,2022-09-02 17:19:35
CHG_000073,810F13C60,spending_limit,3117,24506,EMP_0116,2022-09-02 17:48:42
CHG_000021,8149144B1,address,"39421 Kyle Mill Apt. 952, West Markchester, HI 26819","842 Sloan Orchard Suite 517, East Karenbury, VI 89148",EMP_0041,2022-09-02 18:18:53
CHG_000186,80877E700,beneficial_owner,few,issue,EMP_0093,2022-09-02 19:29:09
CHG_000230,80339FB50,beneficial_owner,free,herself,EMP_0200,2022-09-02 19:31:45
CHG_000135,80A19D8C0,tax_id,history,south,EMP_0142,2022-09-02 20:24:13
